Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,q_state.q,q_state.qd,q_state.qdd,tau,force_up,force_down
1686747588.1994905,261408,1686747588,199490612,,97.38696865467303,-0.00011522607049010721,0.0011781806799681304,0.0,0.0,0.0
1686747588.2026572,261409,1686747588,202657267,,97.38696810656458,-0.00010962168962968699,0.0011208761720840471,0.0,0.0,0.0
1686747588.2076137,261410,1686747588,207613787,,97.38696758511512,-0.00010428989538658217,0.001066358848620966,0.0,0.0,0.0
1686747588.2129452,261411,1686747588,212945181,,97.38696708902796,-9.921742965696771e-05,0.001014493145922887,0.0,0.0,0.0
1686747588.2175589,261412,1686747588,217558869,,97.38696661706958,-9.439167918767371e-05,0.0009651500938588042,0.0,0.0,0.0
1686747588.222595,261413,1686747588,222595050,,97.38696616806634,-8.98006442075005e-05,0.000918206996034638,0.0,0.0,0.0
1686747588.2276256,261414,1686747588,227625652,,97.3869657409018,-8.54329085943586e-05,0.0008735471226283828,0.0,0.0,0.0
1686747588.2325609,261415,1686747588,232560962,,97.38696533451373,-8.1277611484177e-05,0.0008310594220363171,0.0,0.0,0.0
1686747588.2375805,261416,1686747588,237580562,,97.38696494789164,-7.732442026465273e-05,0.0007906382439048562,0.0,0.0,0.0
1686747588.2426043,261417,1686747588,242604340,,97.38696458007412,-7.356350488206164e-05,0.0007521830765182162,0.0,0.0,0.0
1686747588.2482843,261418,1686747588,248284227,,97.38696423014655,-6.998551339925276e-05,0.0007155982965617773,0.0,0.0,0.0
1686747588.252616,261419,1686747588,252615938,,97.3869638972388,-6.658154873923431e-05,0.0006807929320036886,0.0,0.0,0.0
1686747588.257568,261420,1686747588,257568000,,97.38696358052307,-6.33431465636116e-05,0.0006476804351245442,0.0,0.0,0.0
1686747588.2626133,261421,1686747588,262613189,,97.38696327921181,-6.026225422152263e-05,0.0006161784684177902,0.0,0.0,0.0
1686747588.267574,261422,1686747588,267574047,,97.38696299255575,-5.7331210728232184e-05,0.0005862086986580884,0.0,0.0,0.0
1686747588.2725732,261423,1686747588,272573259,,97.38696271984212,-5.454272771645555e-05,0.0005576966023553275,0.0,0.0,0.0
1686747588.2776222,261424,1686747588,277622124,,97.38696246039277,-5.188987130967203e-05,0.000530571281356705,0.0,0.0,0.0
1686747588.2826333,261425,1686747588,282633349,,97.38696221356253,-4.936604488401359e-05,0.0005047652851316875,0.0,0.0,0.0
1686747588.2876751,261426,1686747588,287675202,,97.38696197873767,-4.696497266180052e-05,0.0004802144444426137,0.0,0.0,0.0
1686747588.292531,261427,1686747588,292530960,,97.38696175533424,-4.468068410825992e-05,0.0004568577107081205,0.0,0.0,0.0
1686747588.2976122,261428,1686747588,297612307,,97.38696154279675,-4.2507499083161854e-05,0.00043463700501961263,0.0,0.0,0.0
1686747588.30271,261429,1686747588,302710167,,97.38696134059667,-4.044001371890908e-05,0.0004134970728505546,0.0,0.0,0.0
1686747588.3076084,261430,1686747588,307608286,,97.38696114823125,-3.847308698176531e-05,0.0003933853474287522,0.0,0.0,0.0
